ROWS 5
COLUMNS 5
GAME_MODE tc
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TILE CROSS DEFAULT
TOKEN 1 1
TREASURE 2 2

